,p0,m0,p1,m1,p2,m2,p3,m3
5163,30788.039343,16.6778756341,241982.395107,137.220665578,24622.9416577,14.4076999672,6867.18958115,4.81286432803
5164,31299.1299362,16.8354710021,254864.60378,141.347247962,28708.0489229,15.7284149681,7522.74640384,5.27231080313
5165,30436.0816067,16.5686968689,241211.686582,136.97082375,24720.4929651,14.4402997276,6901.76282706,4.83709495978
5166,31119.7509906,16.7802856154,252776.243976,140.684469548,26771.7396586,15.1133116089,7175.08430138,5.02865209656
5167,30669.6047435,16.6411967299,245629.516317,138.398340384,28059.6602681,15.5244921947,7497.21402639,5.2544164568
5168,30445.4224744,16.5716014147,244377.44055,137.994892329,24833.8427258,14.4781087023,6933.45154538,4.85930397269
5169,30660.8765309,16.6384912249,246299.431145,138.613839263,26878.4019376,15.1476843594,7207.95522295,5.05168965566
5170,30797.7710778,16.6808868386,248573.593464,139.343521186,28156.7907209,15.5551685016,7530.46420747,5.27771981963
5171,30262.6145181,16.5146875511,241250.653666,136.983464021,24986.7539864,14.5289949405,6966.21006277,4.88226275341
5172,30968.3753156,16.7336093771,250637.625917,140.003302296,28799.5583207,15.7570351885,7623.65048033,5.34302934447
5173,29978.8668541,16.4260548768,237968.298507,135.915616765,25145.951352,14.5818292603,7001.04334491,4.90667563135
5174,30749.753435,16.6660252053,247762.259673,139.083529233,27077.5407636,15.2117009635,7274.92101933,5.09862258052
5175,30505.5288939,16.590282392,244774.793826,138.123024975,27976.7420017,15.4982682718,7598.18028229,5.32517857654
5176,30300.4726207,16.5264860523,242177.429788,137.283835904,25327.7127451,14.6419745113,7032.87363836,4.92898386707
5177,30494.5468991,16.5868703852,244583.340604,138.061299136,27229.3031416,15.2603511024,7307.97445382,5.12178805366
5178,30638.3282347,16.6315003474,246559.291966,138.697363685,27926.0848056,15.4822308371,7631.60546384,5.34860458831
5179,30081.8354208,16.4582600613,239450.221584,136.398511556,25460.4473208,14.6857781834,7065.77522676,4.952042919
5180,30488.8001535,16.5850847131,244615.685842,138.071728923,27344.9534205,15.2973462906,7341.06789003,5.14498156197
5181,30512.7946677,16.592539513,245016.206361,138.200828434,27821.6865971,15.4491400913,7665.06491417,5.37205461732
5182,30093.5522971,16.4619217131,239676.097362,136.472001379,25611.5182939,14.7355124668,7098.70554269,4.97512210459
5183,30393.9029341,16.5555766332,243473.223837,137.702979155,27458.6193707,15.333640962,7374.16454669,5.16817732733
5184,30482.7422896,16.5832022118,244718.545612,138.104892319,27712.5283141,15.4144832874,7698.53164293,5.39550974742
5185,29986.9516931,16.4285852657,238410.786762,136.059940107,25752.2147661,14.781716874,7131.64923314,4.99821066371
5186,30649.4484457,16.6349483349,246864.209345,138.795321928,28116.5317034,15.5424591999,7792.14169966,5.46111628084
5187,29687.1447477,16.3345547601,234824.870169,134.886992166,25911.8622732,14.8340122396,7166.7893372,5.02283857754
5188,30425.3085556,16.5653465103,243966.056584,137.862140765,27643.3935352,15.3925031556,7441.58345511,5.2154278154
5189,29927.6567879,16.4100203613,238711.733687,136.158031867,27010.0224754,15.1900189186,7766.70172933,5.44328669797
5190,30042.5005004,16.4459629875,239078.826543,136.277611282,26204.7295384,14.9295840696,7198.72096433,5.04521783289
5191,30276.7672377,16.5190989958,242127.683124,137.267725401,27530.6533572,15.3566085769,7474.6246102,5.23858468253
