,tout,s,i,ext,hvac,storage,t1,t2,t3,t4,t5,t6,hsp0,m,rh,tdis,twater,mwa
1983,26.8066666667,833.0,17817.0683978,15884.8216606,-32173.3627401,-21.0872051606,23.6999127222,23.6999266808,23.6999740124,23.6999295016,23.6999320774,24.8675747785,23.7,3.83040612625,0.0,15.5053136629,82.2222222222,0.0
1984,26.8333333333,834.5,17823.8471072,15906.0294625,-34153.7977154,-0.410196869609,23.6999097165,23.6999254357,23.6999453602,23.6999287963,23.6999309208,24.8718321938,23.7,4.12419946559,0.0,15.6205727134,82.2222222222,0.0
1985,26.86,836.0,17828.621988,16067.8191659,-36365.4331522,-1343.25628507,23.6900674033,23.6902202762,23.690682473,23.6901655701,23.6902251504,24.8727983757,23.69,4.39355798467,0.0,15.614925706,82.2222222222,0.0
1986,26.8866666667,837.5,17833.135435,16116.7479097,-32421.7843784,-21.2511215598,23.689911692,23.6899267293,23.6899742135,23.6899293504,23.6899320607,24.8773253349,23.69,3.86464580984,0.0,15.5051541466,82.2222222222,0.0
1987,26.9133333333,839.0,17831.236311,16136.7730465,-34391.6633359,-0.403136248257,23.6899087381,23.6899254045,23.6899454553,23.689928648,23.6899308634,24.8814474812,23.69,4.15808850945,0.0,15.620557594,82.2222222222,0.0
1988,26.94,840.5,17828.2912743,16163.8815965,-33999.2310733,-0.269010464933,23.689906767,23.6899203859,23.6899293746,23.6899249022,23.689925893,24.8857516001,23.69,4.0836422215,0.0,15.5671922287,82.2222222222,0.0
1989,26.9666666667,842.0,17825.0629988,16324.6135399,-36610.9055943,-1342.7046618,23.6800688164,23.6802301447,23.6806871013,23.6801703254,23.680230591,24.8867277328,23.68,4.43572695733,0.0,15.627636851,82.2222222222,0.0
1990,26.9933333333,843.5,17825.8272247,16372.2877411,-32671.1961092,-21.5794231468,23.6799107048,23.6799269897,23.679974319,23.6799293139,23.6799321687,24.8913533828,23.68,3.89849586717,0.0,15.5037306953,82.2222222222,0.0
1991,27.02,845.0,17823.2859468,16391.9462967,-34638.2750556,-0.388928018127,23.6799078551,23.6799256517,23.6799456344,23.6799287034,23.6799310204,24.8955305753,23.68,4.19324690603,0.0,15.6207605549,82.2222222222,0.0
1992,27.0466666667,846.5,17824.7024478,16553.2940398,-36846.6696302,-1343.00151725,23.6700680502,23.6702343449,23.6706838233,23.6701711765,23.6702313775,24.896265169,23.67,4.46280232424,0.0,15.6148798082,82.2222222222,0.0
1993,27.0733333333,848.0,17834.7205902,16600.5617524,-32908.0284463,-21.5727370267,23.6699099926,23.6699272516,23.6699745077,23.6699293034,23.6699322673,24.900703265,23.67,3.93219172885,0.0,15.5049590063,82.2222222222,0.0
1994,27.1,849.5,17840.5807605,16619.7170439,-34883.4503193,-0.399699312961,23.6699070642,23.6699256618,23.6699455539,23.6699285661,23.669930929,24.904695831,23.67,4.22826776828,0.0,15.6208623013,82.2222222222,0.0
1995,27.1266666667,851.0,17842.100874,16781.0701562,-37091.5713603,-1342.87070115,23.6600685365,23.6602406047,23.6606841211,23.6601736473,23.6602341046,24.9052114399,23.66,4.49808715426,0.0,15.6148695241,82.2222222222,0.0
1996,27.1533333333,852.5,17844.4655673,16828.1863459,-33145.8378669,-21.7359221486,23.6599092886,23.6599274267,23.6599744654,23.6599292017,23.6599322463,24.909532192,23.66,3.96540215064,0.0,15.5047455969,82.2222222222,0.0
1997,27.18,854.0,17841.8241935,16847.2038304,-35111.9164395,-0.391492106947,23.6599064203,23.6599257318,23.6599455185,23.6599284666,23.6599308694,24.91342491,23.66,4.26130640448,0.0,15.6208725702,82.2222222222,0.0
1998,27.2066666667,855.5,17838.6361488,17008.9355246,-37315.7965551,-1342.74863739,23.6500691042,23.6502470072,23.6506843493,23.6501761699,23.6502368853,24.9138009978,23.65,4.53093666335,0.0,15.6148260688,82.2222222222,0.0
1999,27.2333333333,857.0,17839.4020269,17055.1312655,-33368.1294449,-21.890731929,23.6499087272,23.6499276901,23.6499745055,23.6499291524,23.6499322772,24.9180650488,23.65,3.99686958498,0.0,15.5045947044,82.2222222222,0.0
2000,27.26,858.5,17836.4176937,17072.8946632,-35331.9574458,-0.386589160207,23.6499058949,23.6499258636,23.6499455412,23.649928408,23.6499308466,24.9218982198,23.65,4.29344864842,0.0,15.6209569945,82.2222222222,0.0
